currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
BTC,ZEC,RSI,0.00,10.83,0.00,-10.83,1.07,55.32,3.12,0.85,-3.54,-0.78,1235,10,73,89,22,772094830,0.01481003,0.01320669,0.01254318,0.01548758,0.01385532,3.8,2184,597268132,682,2019-01-17 20:54:00,2019-04-17 07:12:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,DASH,RSI,0.00,-16.57,0.00,16.57,0.69,56.67,7.93,1.45,-5.76,-1,1752,10,73,89,15,1563510278,0.01962004,0.02287159,0.01904507,0.0289999,0.02199960,9.2,2195,422758451,2539,2019-01-17 20:48:00,2019-04-17 07:38:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BTC,RSI,0.00,-131.49,0.00,131.49,0.83,72.97,8.49,1.9,-9.63,-0.93,1436,10,73,89,1,192028107128,3994.19999984,9246.19999999,3898.00000005,9429.96026884,6433.91660429,25.3,598,25292068557,5641,2019-03-22 21:39:00,2019-06-20 01:39:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
USDT,BTC,MACD,0.00,-131.49,0.00,131.49,13.09,23.37,6.36,0.45,-4.32,-0.47,108,10,73,89,1,192028107128,3994.19999984,9246.19999999,3898.00000005,9429.96026884,6433.91660429,25.3,598,25292068557,5641,2019-03-22 21:39:00,2019-06-20 01:39:00,long = 21 short = 10 signal = 9 [thresholds] down = -0.025 persistence = 1 up = 0.025,first run
BTC,XMR,RSI_BULL_BEAR,0.00,13.54,0.00,-13.54,1.15,44.19,3.07,1.25,-5.55,-1.24,1131,10,73,150,13,1946946237,0.012373,0.0106972,0.0101,0.01475999,0.01228631,7.7,8512,144417487,3813,2019-01-17 20:47:00,2019-06-17 06:56:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,ZEC,RSI_BULL_BEAR,0.00,10.83,0.00,-10.83,1.24,47.27,3.85,1,-7.92,-1.23,915,10,73,89,22,772094830,0.01481003,0.01320669,0.01254318,0.01548758,0.01385532,3.8,2184,597268132,682,2019-01-17 20:54:00,2019-04-17 07:12:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,DASH,RSI_BULL_BEAR,0.00,-16.57,0.00,16.57,1.12,58.00,8.83,1.6,-5.98,-2.45,1328,10,73,89,15,1563510278,0.01962004,0.02287159,0.01904507,0.0289999,0.02199960,9.2,2195,422758451,2539,2019-01-17 20:48:00,2019-04-17 07:38:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
USDT,BTC,RSI_BULL_BEAR,0.00,-131.49,0.00,131.49,1.27,71.43,13.10,1.98,-10.85,-2.1,1700,10,73,89,1,192028107128,3994.19999984,9246.19999999,3898.00000005,9429.96026884,6433.91660429,25.3,598,25292068557,5641,2019-03-22 21:39:00,2019-06-20 01:39:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
XBT,DASH,RSI,0.00,-22.78,0.00,22.78,1.62,54.17,3.39,0.62,-3.81,-0.6,783,10,73,89,15,1563510278,0.01949,0.02393,0.019,0.02897,0.02188034,9.3,1309,422758451,560,2019-01-15 01:57:00,2019-04-14 12:37:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
EUR,XMR,RSI,0.00,-50.88,0.00,50.88,1.24,62.96,3.66,1.16,-11.35,-1.41,1093,10,73,89,13,1946946237,38.17,57.59,35.83,64.86,44.86329079,15.2,5749,144417487,859,2019-01-14 08:50:00,2019-04-13 19:26:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
